Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1039/c8qi01020j,MAPbI,MAPbI3,22.5,1.09,24.33,1.55
10.1002/adma.201903691,MAPbI,MAPbI3,22.5,1.07,23.11,1.6
10.1002/adfm.201806740,MAPbI,MAPbI3,22.5,0.99,22.14,1.6
10.1002/advs.202000782,MAPbI,MAPbI3,22.5,1.0759999999999998,24.6,
10.1021/acsami.9b13952,MAPbI,MAPbI3,22.5,1.042,21.37,1.6
10.1021/acsami.9b13952,MAPbI,MAPbI3,22.5,1.102,21.71,1.6
10.1021/acsami.9b13952,MAPbI,MAPbI3,22.5,1.06,20.44,1.6
10.1021/acsami.9b13952,MAPbI,MAPbI3,22.5,1.102,21.76,1.6
10.1002/solr.201800027,MAPbI,MAPbI3,22.5,1.08,22.62,1.6
10.1002/solr.201900370,MAPbI,MAPbI3,22.5,1.07,22.8,1.6
10.1016/j.materresbull.2018.12.013,MAPbI,MAPbI3,22.5,1.01,23.12,1.57
10.1002/aenm.201902898,MAPbI,MAPbI3,22.5,1.0,22.5,1.6
10.1002/solr.201800352,MAPbI,MAPbI3,22.5,1.09,23.95,1.6
10.1016/j.electacta.2018.11.066,MAPbI,MAPbI3,22.5,1.08,23.9,1.6
10.1016/j.cej.2019.123677,MAPbI,MAPbI3,22.5,1.108,23.8,
10.1002/advs.202000782,MAPbI,MAPbI3,22.5,1.083,24.7,
10.1002/anie.201915422,MAPbI,MAPbI3,22.5,1.08,23.49,1.6
10.1002/solr.201900243,MAPbI,MAPbI3,22.49,1.098,23.81,1.6
10.1039/c9ta00118b,MAPbI,MAPbI3,22.49,1.06,22.68,1.6
10.1016/j.solener.2018.09.002,MAPbI,MAPbI3,22.48,1.03,24.78,1.6
10.1016/j.jpowsour.2019.227420,MAPbI,MAPbI3,22.47,1.11,22.58,1.6
10.1016/j.jpowsour.2019.227420,MAPbI,MAPbI3,22.47,1.04,21.38,1.6
10.1016/j.jpowsour.2019.227420,MAPbI,MAPbI3,22.47,1.14,22.61,1.6
10.1016/j.jpowsour.2019.227420,MAPbI,MAPbI3,22.47,1.09,21.87,1.6
10.1016/j.jpowsour.2019.227420,MAPbI,MAPbI3,22.47,1.06,22.5,1.6
10.1021/acsaem.0c00823,MAPbI,MAPbI3,22.46,1.12,23.01,1.59
10.1002/aenm.201702934,MAPbI,MAPbI3,22.45,1.1,23.15,1.6
10.1039/c9ta09101g,MAPbI,MAPbI3,22.45,1.07,23.24,1.6
10.1016/j.mssp.2019.104671,MAPbI,MAPbI3,22.42,1.05,23.52,1.58
10.1002/adfm.202001788,MAPbI,MAPbI3,22.41,1.07,23.23,
10.1021/acsenergylett.0c01297,MAPbI,MAPbI3,22.41,1.018,23.67,
10.1039/c8ta11361k,MAPbI,MAPbI3,22.41,1.06,22.36,1.6
10.1002/adfm.201900265,MAPbI,MAPbI3,22.4,0.96,22.43,1.5
